1	2	0.000575259	0.000293245	0
2	3	0.003075952	0.0015673	0
3	4	0.00228419	0.001162997	0
4	5	0.002377779	0.001211039	0
5	6	0.005109948	0.004411152	0
6	7	0.001167988	0.00386085	0
7	8	0.004439228	0.001466848	0
8	9	0.006425807	0.004617047	0
9	10	0.00651378	0.004617047	0
10	11	0.001227261	0.000406175	0
11	12	0.002335976	0.000809855	0
12	13	0.009159223	0.007205713	0
13	14	0.003379179	0.004447963	0
14	15	0.003686775	0.003281847	0
15	16	0.004655731	0.003399769	0
16	17	0.008041773	0.010737754	0
17	18	0.004567133	0.003580707	0
2	19	0.001023237	0.000976443	0
19	20	0.009385084	0.008457307	0
20	21	0.002554974	0.002984859	0
21	22	0.004423006	0.005848052	0
3	23	0.002815151	0.001924186	0
23	24	0.005602849	0.004424254	0
24	25	0.005589747	0.004411776	0
6	26	0.001267192	0.000645139	0
26	27	0.001773196	0.00090282	0
27	28	0.006606745	0.005826214	0
28	29	0.005018231	0.004371221	0
29	30	0.003165797	0.001612847	0
30	31	0.006080152	0.006007777	0
31	32	0.001937288	0.002257986	0
32	33	0.002128209	0.003308052	0
